Data,ClienteId,Operadora,Procedimento,Categoria,Qtde,PrecoUnitario,UF,Receita
2025-01-24,7,OperadoraA,Proc2,C,2,459.12,PR,
2024-06-22,17,OperadoraB,Proc5,C,2,300.07,RS,600.14
2024-05-22,16,OperadoraC,Proc2,C,-1,184.26,MG,0.0
2024-10-02,12,OperadoraA,Proc5,B,1,-122.41,SP,0.0
2024-11-04,16,OperadoraC,Proc6,B,3,-34.44,RS,0.0
2024-10-01,4,OperadoraB,Proc4,C,5,310.55,RJ,1552.75
2025-05-19,15,OperadoraC,Proc1,B,-3,581.65,SP,
2024-05-29,15,OperadoraB,Proc1,A,5,178.86,MG,
2024-03-05,11,OperadoraD,Proc6,C,4,-107.59,BA,0.0
2024-06-20,3,OperadoraD,Proc3,C,4,427.9,RS,1711.6
2025-03-21,10,OperadoraA,Proc1,C,1,176.76,PR,176.76
2024-10-09,2,OperadoraA,Proc4,C,2,515.9,RJ,1031.8
2025-03-07,4,OperadoraC,Proc6,A,-3,12.0,RS,0.0
2024-11-02,1,OperadoraC,Proc2,B,3,313.49,RS,940.47
2025-05-10,11,OperadoraA,Proc4,A,0,110.02,SP,
2024-03-19,4,OperadoraD,Proc1,B,3,96.82,RJ,290.46
2025-01-04,6,OperadoraB,Proc2,A,-1,105.16,RJ,
2024-09-14,8,OperadoraD,Proc4,C,2,-50.73,RJ,0.0
2024-09-09,17,OperadoraA,Proc1,A,2,-164.31,SP,
2025-05-22,6,OperadoraB,Proc6,A,-2,151.79,RJ,
2024-07-19,18,OperadoraC,Proc1,C,3,10.72,SP,32.16
2025-04-13,6,OperadoraA,Proc1,B,3,469.66,PR,
2024-04-19,11,OperadoraD,Proc3,B,3,251.4,SP,754.2
2024-05-18,18,OperadoraC,Proc3,C,3,-79.1,MG,0.0
2024-11-07,14,OperadoraC,Proc3,C,4,357.18,BA,1428.72
2024-01-07,15,OperadoraA,Proc2,C,-2,-122.64,RJ,
2025-02-09,8,OperadoraD,Proc4,C,-2,334.51,MG,0.0
2024-12-06,13,OperadoraA,Proc2,C,4,446.54,MG,1786.16
2025-01-24,6,OperadoraB,Proc6,A,2,131.19,PR,262.38
2024-12-03,6,OperadoraB,Proc6,B,5,405.17,RS,2025.85
2025-03-26,14,OperadoraC,Proc2,C,3,-17.99,PR,0.0
2024-12-08,13,OperadoraD,Proc1,B,1,-151.21,BA,0.0
2025-03-16,1,OperadoraB,Proc5,C,-1,109.68,SP,0.0
2024-05-19,20,OperadoraB,Proc5,A,0,218.07,BA,
2024-11-03,7,OperadoraB,Proc1,A,2,572.5,SP,
2024-11-24,15,OperadoraB,Proc5,A,3,349.65,RJ,1048.95
2024-07-24,19,OperadoraA,Proc6,A,1,549.09,MG,
2025-05-05,14,OperadoraC,Proc2,B,4,258.17,PR,
2024-11-17,13,OperadoraC,Proc4,A,5,-11.49,RS,
2024-06-30,1,OperadoraB,Proc3,B,-2,39.08,PR,0.0
2025-02-11,7,OperadoraC,Proc6,C,-1,115.84,RJ,0.0
2024-11-22,7,OperadoraC,Proc2,C,-3,483.15,PR,0.0
2024-10-25,9,OperadoraC,Proc6,A,4,-172.22,RS,
2025-05-17,3,OperadoraC,Proc6,B,5,256.98,RS,1284.9
2024-09-05,19,OperadoraA,Proc2,C,-2,213.45,MG,
2024-11-29,4,OperadoraB,Proc4,C,0,257.19,MG,0.0
2025-01-20,18,OperadoraD,Proc5,C,-2,586.2,RJ,0.0
2024-10-14,6,OperadoraA,Proc6,C,-3,-82.04,MG,0.0
2025-02-06,12,OperadoraC,Proc4,A,5,559.4,BA,2797.0
2025-01-08,11,OperadoraB,Proc2,A,3,159.23,BA,477.69
2024-04-26,7,OperadoraB,Proc1,A,3,559.25,SP,1677.75
2025-07-31,15,OperadoraB,Proc1,C,2,-66.27,MG,0.0
2024-07-23,4,OperadoraB,Proc2,A,3,-30.49,SP,0.0
2025-07-12,9,OperadoraC,Proc1,C,-1,-45.82,PR,0.0
2024-07-03,16,OperadoraB,Proc5,A,4,-165.86,SP,0.0
2025-07-17,17,OperadoraD,Proc6,A,5,-137.31,RJ,0.0
2024-01-28,11,OperadoraD,Proc4,B,3,346.5,RS,1039.5
2025-04-17,20,OperadoraB,Proc3,B,-1,-38.46,RJ,0.0
2024-08-02,13,OperadoraC,Proc4,C,5,458.05,RJ,2290.25
2025-03-24,20,OperadoraD,Proc3,C,3,-81.7,BA,
2024-10-25,13,OperadoraD,Proc2,C,4,276.04,RJ,1104.16
2024-03-11,19,OperadoraD,Proc2,B,3,55.8,BA,
2025-02-22,4,OperadoraA,Proc3,A,1,381.68,RJ,381.68
2025-05-26,12,OperadoraA,Proc6,B,2,445.87,MG,
2024-05-22,12,OperadoraD,Proc1,A,-3,-130.38,BA,
2024-11-06,15,OperadoraC,Proc2,C,5,245.09,PR,
2024-09-04,20,OperadoraC,Proc5,B,0,241.64,RS,0.0
2024-09-15,6,OperadoraD,Proc5,C,2,485.3,SP,
2024-06-06,10,OperadoraD,Proc5,A,5,215.75,BA,1078.75
2025-03-09,20,OperadoraC,Proc6,A,3,533.73,SP,1601.19
2025-01-21,19,OperadoraA,Proc5,B,2,-190.11,PR,0.0
2024-03-16,3,OperadoraA,Proc3,B,2,360.33,RJ,
2025-04-04,5,OperadoraD,Proc6,B,2,270.06,BA,540.12
2025-05-05,11,OperadoraC,Proc1,C,4,425.35,RJ,1701.4
2025-02-14,4,OperadoraA,Proc6,A,-1,-109.98,RS,0.0
2025-07-01,8,OperadoraD,Proc3,B,-2,-80.29,SP,0.0
2025-06-02,10,OperadoraB,Proc2,C,1,253.28,RJ,
2025-03-04,4,OperadoraD,Proc5,C,-3,266.14,MG,0.0
2025-07-10,6,OperadoraB,Proc5,C,-1,571.87,RS,0.0
2024-02-07,12,OperadoraD,Proc5,A,2,-119.84,MG,
2025-01-03,5,OperadoraC,Proc2,B,-1,-115.49,BA,
2025-07-03,17,OperadoraC,Proc6,B,5,423.64,BA,2118.2
2024-03-28,13,OperadoraC,Proc4,C,3,428.6,BA,1285.8
2024-04-21,14,OperadoraC,Proc3,B,3,493.98,MG,1481.94
2024-09-11,20,OperadoraB,Proc6,A,2,504.11,PR,1008.22
2024-12-29,5,OperadoraD,Proc1,B,4,502.31,PR,2009.24
2024-06-19,19,OperadoraC,Proc2,C,5,11.31,MG,56.55
2024-02-15,13,OperadoraA,Proc4,A,0,323.83,PR,0.0
2025-07-30,14,OperadoraA,Proc4,B,3,257.62,MG,
2025-02-13,6,OperadoraA,Proc1,A,-1,178.44,RJ,
2024-12-05,16,OperadoraD,Proc2,B,3,-62.24,PR,
2025-03-16,18,OperadoraA,Proc4,A,5,122.38,MG,
2024-04-18,6,OperadoraA,Proc6,C,0,294.6,BA,0.0
2024-01-11,18,OperadoraB,Proc5,C,2,344.65,RS,689.3
2024-04-10,6,OperadoraD,Proc1,C,2,121.38,RS,242.76
2024-09-21,16,OperadoraD,Proc5,A,2,116.63,PR,
2024-08-15,10,OperadoraA,Proc1,A,2,503.17,RS,1006.34
2025-06-06,5,OperadoraD,Proc3,C,1,352.41,SP,
2025-06-15,6,OperadoraB,Proc3,C,3,-160.57,SP,0.0
2025-07-25,11,OperadoraB,Proc2,A,-2,180.17,RS,0.0
2024-08-14,15,OperadoraC,Proc4,A,4,14.87,BA,59.48
2025-04-01,20,OperadoraB,Proc5,A,4,97.95,MG,391.8
2025-01-18,2,OperadoraC,Proc4,A,3,70.29,RS,210.87
2025-02-04,12,OperadoraA,Proc3,A,-2,434.92,BA,0.0
2025-04-19,1,OperadoraC,Proc5,B,-1,48.76,RS,
2025-05-27,16,OperadoraC,Proc6,B,-3,474.28,RS,0.0
2024-06-03,5,OperadoraA,Proc2,B,2,486.59,MG,973.18
